pedido_id,cliente_id,categoria,produto,preco_unitario,quantidade,data_pedido,estado,canal_aquisicao,status_pedido,avaliacao
PED102275,CLI1037,Livros,Quadrinhos,39.52,1,19/06/2025,PA,Google Ads,Entregue,5.0
PED100108,CLI1355,Esporte,Kit Halteres,118.5,2,2025-01-01,PE,Instagram Ads,entregue,5.0
PED104506,CLI2515,Beleza,Base Líquida,48.48,1,15/08/2025,GO,,Entregue,4.0
PED100795,CLI1843,Esporte,Bicicleta Ergométrica  ,158.95,1,02-06-2025,PR,Instagram Ads,Entregue,3.0
PED100200,CLI2021,Beleza,Perfume,38.6,1,16-05-2025,RJ,Instagram Ads,Cancelado,3.0
PED103822,CLI2771,Casa e Decoração,Tapete,118.59,5,09-07-2025,CE,,entregue,4.0
PED101550,CLI2891,Esporte,Colchonete Yoga,96.44,1,31/05/2025,CE,Indicação,Entregue,4.0
PED102347,CLI1569,Moda,Boné,63.41,2,29-03-2025,AM,Indicação,Entregue,4.0
PED103983,CLI1954,Livros,Romance Best-seller,39.61,2,2025-02-14,DF,Instagram Ads,Entregue,4.0
PED102533,CLI2265,Moda,Bermuda,98.41,2,14/04/2025,SC,,Em transporte,5.0
PED100359,CLI1569,Esporte,Colchonete Yoga,69.7,1,12-04-2025,RS,Orgânico,ENTREGUE,5.0
PED101123,CLI1870,Casa e Decoração,Vaso Decorativo,63.42,5,2025-07-07,CE,Google Ads,Em transporte,5.0
PED101685,CLI1269,Esporte,Colchonete Yoga,154.12,1,23-06-2025,BA,E-mail Marketing,Em transporte,3.0
PED100004,CLI2795,Beleza,Base Líquida,50.39,3,19-02-2025,RS,Instagram Ads,Entregue,
PED102016,CLI1600,Esporte,Tênis de Corrida  ,85.8,1,2025-01-12,PE,Instagram Ads,Cancelado,5.0
PED101988,CLI1301,Esporte,Bicicleta Ergométrica,127.69,2,24-01-2025,CE,Indicação,Entregue,5.0
PED101882,CLI2784,Casa e Decoração,Jogo de Panelas,32.21,2,17-03-2025,GO,Instagram Ads,Em transporte,5.0
PED102123,CLI1772,Esporte,Colchonete Yoga,104.0,1,18-02-2025,PE,,Em transporte,3.0
PED101230,CLI1755,Beleza,Protetor Solar,80.79,5,2025-04-28,PE,Orgânico,entregue,5.0
PED102256,CLI2597,Esporte,Tênis de Corrida,124.48,1,03-08-2025,SC,Orgânico,Entregue,4.0
PED100840,CLI1349,Esporte,Tênis de Corrida,88.41,1,2025-01-09,DF,Orgânico,Entregue,5.0
PED103910,CLI1396,Esporte,Garrafa Térmica,183.25,1,24-03-2025,GO,Orgânico,Devolvido,5.0
PED104858,CLI1621,Eletrônicos,Mouse Gamer,189.88,1,2025-07-31,CE,Orgânico,Entregue,5.0
PED102940,CLI1112,Casa e Decoração,Tapete,97.73,1,22-01-2025,PR,,Entregue,5.0
PED100028,CLI2373,Beleza,Protetor Solar,88.09,1,11/06/2025,PA,Instagram Ads,Entregue,5.0
PED103059,CLI1851,Eletrônicos,Caixa de Som,128.64,1,2025-03-04,DF,Indicação,Entregue,4.0
PED101534,CLI2651,Beleza,Secador de Cabelo,80.07,1,2025-01-04,GO,,Cancelado,4.0
PED101030,CLI2189,Eletrônicos,Smartwatch,221.64,2,2025-04-27,BA,Instagram Ads,entregue,5.0
PED100447,CLI2854,Beleza,Secador de Cabelo,60.32,1,2025-03-02,PE,Instagram Ads,Entregue,4.0
PED102755,CLI1722,Beleza,Perfume,73.65,1,29-04-2025,DF,Google Ads,entregue,5.0
PED103706,CLI2398,Esporte,Tênis de Corrida,68.43,5,04-02-2025,BA,E-mail Marketing,Entregue,3.0
PED104380,CLI1626,Eletrônicos,Caixa de Som,137.68,1,2025-04-20,BA,Indicação,Entregue,4.0
PED104320,CLI2064,Beleza,Secador de Cabelo,37.92,5,2025-02-26,RJ,Google Ads,Entregue,5.0
PED103007,CLI1939,Livros,Quadrinhos,32.05,1,12/10/2025,SP,Google Ads,Em transporte,4.0
PED101986,CLI1719,Moda,Camiseta Básica,113.0,1,2025-03-03,SC,Instagram Ads,Entregue,4.0
PED101784,CLI1785,Beleza,Secador de Cabelo,32.68,1,14-05-2025,PE,Orgânico,Devolvido,4.0
PED101147,CLI1388,Eletrônicos,Caixa de Som,235.67,1,03-01-2025,PR,Orgânico,Entregue,3.0
PED101977,CLI2185,Eletrônicos,Caixa de Som,150.23,1,2025-01-10,SP,E-mail Marketing,Entregue,3.0
PED100636,CLI2483,Eletrônicos,Smartwatch,144.98,1,14-02-2025,SC,E-mail Marketing,Entregue,
PED101740,CLI2747,Livros,Biografia,52.32,2,24-08-2025,MG,,Entregue,1.0
PED102458,CLI1330,Eletrônicos,Fone Bluetooth,160.85,1,2025-04-06,BA,Google Ads,Entregue,4.0
PED102855,CLI2177,Moda,Camiseta Básica,64.6,1,31/03/2025,RJ,Google Ads,Entregue,4.0
PED102249,CLI1447,Moda,Boné,61.71,1,12-04-2025,DF,Google Ads,Entregue,
PED101953,CLI2709,Esporte,Colchonete Yoga,,2,01-05-2025,RS,,Entregue,
PED101768,CLI2944,Livros,Quadrinhos,42.35,5,26/08/2025,PE,Indicação,Entregue,4.0
PED101549,CLI2503,Moda,Camiseta Básica,86.58,1,23-05-2025,PA,Orgânico,Entregue,
PED100440,CLI1305,Casa e Decoração,Jogo de Panelas,85.16,1,30-03-2025,MG,E-mail Marketing,entregue,4.0
PED103444,CLI1095,Eletrônicos,Mouse Gamer,137.09,1,28-03-2025,CE,E-mail Marketing,Entregue,4.0
PED100858,CLI2482,Livros,Livro de Autoajuda,50.9,1,15-02-2025,MG,Orgânico,Entregue,5.0
PED103370,CLI1796,Casa e Decoração,Tapete,78.65,1,25-03-2025,AM,Google Ads,Entregue,5.0
PED102118,CLI2632,Esporte,Garrafa Térmica,132.68,2,14-01-2025,SC,Instagram Ads,Cancelado,5.0
PED104147,CLI1307,Moda,Camiseta Básica,96.45,1,15-04-2025,PE,Instagram Ads,entregue,5.0
PED101652,CLI1188,Casa e Decoração,Tapete  ,52.49,1,2025-01-18,PE,Instagram Ads,Devolvido,3.0
PED103841,CLI1607,Livros,Livro Técnico,45.19,3,10/04/2025,SP,Google Ads,Entregue,
PED100684,CLI1031,Livros,Romance Best-seller,27.17,2,2025-08-13,AM,Orgânico,entregue,3.0
PED103336,CLI1575,Beleza,Secador de Cabelo,29.87,1,02-01-2025,AM,Instagram Ads,Entregue,
PED101385,CLI2772,Casa e Decoração,Tapete,87.74,1,10-07-2025,MG,Google Ads,Entregue,5.0
PED101098,CLI2178,Moda,Camiseta Básica,68.4,2,02-12-2025,MG,Google Ads,Entregue,1.0
PED101495,CLI1348,Eletrônicos,Carregador USB-C,206.22,1,02-10-2025,RJ,Instagram Ads,Entregue,
PED102389,CLI2093,Beleza,Kit Skincare,66.19,2,13-01-2025,RS,E-mail Marketing,Entregue,4.0
PED101715,CLI2391,Moda,Bermuda,84.78,1,2025-08-09,PR,Orgânico,Entregue,3.0
PED104726,CLI2027,Esporte,Bicicleta Ergométrica,107.27,2,2025-01-21,RS,Indicação,Devolvido,4.0
PED101785,CLI1817,Esporte,Kit Halteres,143.63,1,25-07-2025,SP,Orgânico,Entregue,4.0
PED104542,CLI2322,Livros,Quadrinhos,30.74,1,23-11-2025,DF,Indicação,Entregue,4.0
PED101247,CLI2897,Moda,Camiseta Básica,110.46,2,04-08-2025,RJ,Instagram Ads,Entregue,4.0
PED101564,CLI2006,Moda,Camiseta Básica,39.36,1,25/07/2025,AM,Orgânico,Entregue,3.0
PED103665,CLI2931,Casa e Decoração,Luminária LED,75.64,1,17-01-2025,DF,Indicação,Cancelado,4.0
